#DAY  DATE     ROUTE    FLT NO  AIRCRAFT          CLASS  MILEAGE   TOTAL

SAT  17MAR01  KOA-HNL  HA107   DC9      N601AP   ECON       142
SAT  17MAR01  HNL-LAX  HA10    DC10     N133AA   ECON      2219
SAT  17MAR01  LAX-DFW  AA2474  757      N603AA   ECON      1072

FRI  13APR01  DFW-AUS  AA1973  MD80     N411AA   ECON       165
SUN  15APR01  AUS-DFW  AA2024  757      N623AA   ECON       165

FRI   4MAY01  DFW-SNA  AA1843  757      N672AA   ECON      1046
SUN   6MAY01  SNA-DFW  AA1918  MD80     N564AA   ECON      1046

SAT  26MAY01  DFW-ORD  AA2350  MD80     N259AA   ECON       698
SAT  26MAY01  ORD-BHX  AA24    767      N378AN   ECON      3365
TUE  12JUN01  BHX-ORD  AA23    767      N352AA   ECON      3365
TUE  12JUN01  ORD-DFW  AA2237  MD80     N477AA   ECON       698

WED  25JUL01  DFW-SNA  AA721   757      N626AA   ECON      1046
WED  25JUL01  SNA-SEA  AA2744  737      N946AN   ECON       850
SUN   5AUG01  SEA-SNA  AA1779  737      N901AN   ECON       850
SUN   5AUG01  SNA-SFO  AA556   737      N903AN   ECON       323
SUN   5AUG01  SFO-DFW  AA566   MD80     N448AA   ECON      1272

FRI  24AUG01  DFW-BOS  AA1052  MD80     N289AA   ECON      1356
SUN  26AUG01  BOS-DFW  AA1857  757      N633AA   ECON      1356

SAT   1SEP01  DFW-DCA  AA668   MD80     N426AA   ECON      1035
MON   3SEP01  DCA-DFW  AA1175  MD80     N424AA   ECON       165

FRI  15MAR02  DFW-PHX  AA1123  MD80     N583AA   ECON       753
SAT  23MAR02  LGB-DFW  AA1202  MD80     N430AA   ECON      1060

SAT  25MAY02  DFW-COS  AA1361  MD80     N480AA   ECON       514
MON  27MAY02  COS-DFW  AA1388  MD80     N552AA   ECON       514

THU   4JUL02  DFW-FRA  AA70    777      N760AN   BUSINESS  4470
TUE   9JUL02  MUC-LHR  BA951   AB319    G-EUPW   ECON       511
MON  22JUL02  LGW-RDU  AA173   777      N760AN   ECON      3380
MON  22JUL02  RDU-DFW  AA1611  MD80     N460AA   ECON       922

SAT  24AUG02  DFW-MAF  AA3811  EM145    N612AE   ECON       268
SAT  24AUG02  MAF-DFW  AA3578  SF340    N375AE   ECON       268

SAT  23NOV02  DFW-ATL  AA528   MD80     N427AA   ECON       635
SAT  23NOV02  ATL-MIA  AA1989  MD80     N236AA   ECON       516
SAT  30NOV02  FLL-DFW  AA1119  757      N636AM   ECON       971

SAT  28DEC02  DFW-LGW  AA78    777      N776AN   BUSINESS  4146
FRI   3JAN03  LGW-DFW  AA79    777      N787AL   BUSINESS  4146

SAT  15MAR03  DFW-FAT  AA631   MD80     N446AA   FIRST     1140
SAT  22MAR03  SNA-DFW  AA310   757      N618AA   ECON      1046

FRI  18APR03  DFW-XNA  AA3943  CRJ700   N503AE   ECON       244
SUN  20APR03  XNA-DFW  AA3836  CRJ700   N508AE   ECON       244

SAT  19JUL03  DFW-LGW  AA78    777      N780AN   ECON      4146
TUE   5AUG03  GLA-ORD  AA53    767      N39364   BUSINESS  3194
TUE   5AUG03  ORD-DFW  AA2337  MD80     N575AM   ECON       698

SAT  25OCT03  DFW-LGW  AA78    777      N777AN   FIRST     4146
SUN   2NOV03  LGW-DFW  AA81    767      N381AN   BUSINESS  4146

MON  29DEC03  DFW-MAF  AA3557  EM145    N628AE   ECON       268
FRI   2JAN04  MAF-DFW  AA3704  EM140    N848AE   ECON       268

FRI  20FEB04  DFW-LGB  AA2405  757      N703TW   ECON      1060
SUN  22FEB04  LGB-DFW  AA2414  757      N636AM   ECON      1060

FRI  12MAR04  DFW-SFO  AA1441  MD80     N497AA   ECON      1272
TUE  16MAR04  SFO-DFW  AA1994  767      N394AN   ECON      1272

SAT  10APR04  DFW-SAT  AA1723  MD80     N286AA   ECON       214
SAT  10APR04  SAT-DFW  AA641   MD80     N584AA   ECON       214

THU  27MAY04  DFW-SLC  AA1091  MD80     N411AA   ECON       859
MON  31MAY04  SLC-DFW  AA1702  MD80     N979TW   ECON       859

SAT  19MAR05  DFW-MAF  AA3751  EM145    N662EH   ECON       268
SAT  26MAR05  MAF-DFW  AA3704  EM145    N618AE   ECON       268

SAT  28MAY05  DFW-BOS  AA654   737      N921AN   FIRST     1356
SAT  28MAY05  BOS-LHR  AA108   777      N757AN   FIRST     2838
SAT  11JUN05  LTN-SXF  U22107 737      G-ODUS   ECON       514
SUN  19JUN05  FRA-DFW  AA71    777      N770AN   FIRST     4470

SAT  23JUL05  DFW-DEN  AA465   MD80     N7542A   FIRST      557
TUE   2AUG05  DEN-DFW  AA364   MD80     N974TW   FIRST      557

THU  29DEC05  DFW-MAF  AA3667  EM140    N804AE   ECON       268
MON   2JAN06  MAF-DFW  AA3704  EM145    N942LL   ECON       268

SUN  12MAR06  DFW-FAT  AA1673  MD80     N7517A   ECON      1140
MON  13MAR06  FAT-LAX  AA3052  SF340    N396AE   ECON       181
SAT  18MAR06  PSP-DFW  AA1116  MD80     N588AA   ECON       978

WED  19APR06  DFW-ORD  AA2368  MD80     N259AA   ECON       698
WED  19APR06  ORD-LHR  AA98    777      N756AM   FIRST     3434
SUN  23APR06  LGW-DFW  AA51    777      N778AN   FIRST     4146

FRI   2JUN06  DFW-SNA  AA709   737      N953AN   ECON      1046
FRI   2JUN06  LAX-KOA  AA247   757      N608AA   FIRST     2173
TUE   6JUN06  ITO-HNL  AQ43    737      N810AL   ECON       188
TUE   6JUN06  HNL-ITO  AQ46    737      N807AL   ECON       188
FRI   9JUN06  KOA-LAX  AA246   757      N688AA   FIRST     2173
SAT  10JUN06  LAX-DFW  AA2416  MD80     N428AA   ECON      1072

SUN  16JUL06  DFW-LGW  AA78    767      N7375A   ECON      4146
MON  31JUL06  LGW-DFW  AA51    777      N785AN   FIRST     4146

FRI   1SEP06  DFW-COS  AA511   MD80     N572AA   ECON       514
SUN   3SEP06  COS-DFW  AA342   MD80     N437AA   ECON       514

SAT  21APR07  DAL-AUS  AA3367  EM145    N686AE   ECON       164
SAT  21APR07  AUS-DAL  AA3443  EM145    N637AE   ECON       164

THU  31MAY07  DFW-LGW  AA78    777      N781AN   FIRST     4146
SAT   9JUN07  LHR-DUB  EI163   AB321    EI-CPC   ECON       243
WED  13JUN07  SNN-ORD  AA255   757      N194AA   ECON      3119
WED  13JUN07  ORD-XNA  AA325   MD80     N475AA   FIRST      455
WED  13JUN07  XNA-DFW  AA1947  MD80     N972TW   ECON       244

SAT  21JUL07  DFW-YYC  AA2081  MD80     N595AA   ECON      1323
THU   2AUG07  YYC-DFW  AA694   MD80     N593AA   ECON      1323

SAT   1SEP07  DFW-ELP  AA1061  MD80     N428AA   ECON       479
MON   3SEP07  ELP-DFW  AA2076  MD80     N219AA   ECON       479

THU  22NOV07  DFW-PHX  AA1471  MD80     N556AA   ECON       754
SAT  24NOV07  PHX-DFW  AA1354  MD80     N553AA   ECON       754

SAT   8DEC07  ADS-ADS  x       PT-19    N58307   FLT DECK    50

TUE   5FEB08  DFW-PSP  AA879   MD80     N16545   ECON       978
FRI   8FEB08  PSP-DFW  AA1658  MD80     N966TW   ECON       978

MON  17MAR08  DFW-FAT  AA349   MD80     N459AA   ECON      1140
SUN  23MAR08  FAT-DFW  AA668   MD80     N242AA   ECON      1140

FRI  28MAR08  DAL-AUS  AA3446  EM145    N918AE   ECON       164
SAT  29MAR08  AUS-DFW  AA463   MD80     N9627R   ECON       165

FRI  23MAY08  DFW-DCA  AA1170  737      N955AN   ECON      1035
SUN  25MAY08  DCA-DFW  AA1539  MD80     N7518A   ECON      1035

SUN  15JUN08  DFW-SNA  AA603   737      N925AN   ECON      1046
SUN  15JUN08  SNA-DFW  AA1950  737      N954AN   ECON      1046

FRI   4JUL08  DFW-LAX  AA633   757      N627AA   FIRST     1072
FRI   4JUL08  LAX-LHR  AA134   777      N780AN   FIRST     4743
THU  17JUL08  LHR-KEF  FI451   757      TF-FIU   ECON      1026
MON  21JUL08  KEF-BOS  FI635   757      TF-FIP   ECON      2098
MON  21JUL08  BOS-DFW  AA1281  MD80     N584AA   ECON      1356

THU   7AUG08  DFW-TYS  AA3387  CRJ700   N515AE   ECON       670
WED  13AUG08  TYS-DFW  AA3388  CRJ700   N501BG   ECON       670

THU  15JAN09  DFW-MIA  AA1762  737      N938AN   ECON       973
SUN  18JAN09  EYW-MIA  AA4936  ATR72    N410AT   ECON       109
SUN  18JAN09  MIA-DFW  AA1724  737      N917AN   ECON       973

WED  18FEB09  DFW-LAS  AA1063  757      N602AN   ECON       916
SAT  21FEB09  LAS-DFW  AA2226  757      N653A    FIRST      916

MON  16MAR09  DFW-PSP  AA829   MD80     N7519A   ECON       978

FRI   3JUL09  DFW-LHR  AA80    767      N398AN   BUSINESS  4128
MON  13JUL09  LHR-OSL  BA766   AB320    G-EUYD   ECON       652
THU  16JUL09  OSL-TOS  SK4432  737      LN-TUL   ECON       604
THU  16JUL09  TOS-LYR  SK4492  737      LN-BUE   ECON       520
SUN  19JUL09  LYR-OSL  SK4499  737      LN-RRF   ECON      1091
SUN  19JUL09  OSL-FRA  SK4755  737      LN-RPU   ECON       618
MON  20JUL09  FRA-DFW  AA71    777      N768AA   FIRST     4470

SUN   9AUG09  DFW-ORD  AA2328  MD80     N965TW   ECON       698
SUN   9AUG09  ORD-MQT  AA3901  EM145    N612AE   ECON       261
SAT  15AUG09  MQT-MKE  AA3972  EM145    N649PP   ECON       205
SAT  15AUG09  MKE-DFW  AA3638  EM145    N611AE   ECON       741

FRI  18SEP09  DFW-DEN  AA2275  MD80     N490AA   ECON       557
SAT  19SEP09  DEN-DFW  AA1274  MD80     N7550    ECON       557

SAT  24OCT09  DFW-HOU  AA3219  CRJ700   N512AE   ECON       214
SUN  25OCT09  IAH-DFW  AA1366  737      N933AN   ECON       195

SUN  22NOV09  DFW-TUS  AA1545  MD80     N293AA   ECON       706
FRI  27NOV09  TUS-DFW  AA1314  MD80     N493AA   ECON       706

WED   3FEB10  DFW-PHX  AA1279  MD80     N77421   ECON       754
SUN   7FEB10  PHX-DFW  AA1802  MD80     N582AA   FIRST      754

MON  15MAR10  DFW-CDG  AA48    767      N370AA   ECON      4300
TUE  16MAR10  CDG-MPL  AF7680  AB319    F-GRHC   ECON       330
SUN  21MAR10  MPL-CDG  AF7685  AB319    F-GRHS   ECON       330
MON  22MAR10  CDG-DFW  AA49    767      N370AA   ECON      4300

WED  16JUN10  DFW-ORD  AA2366  MD80     N574AA   ECON       698
THU  17JUN10  ORD-LHR  AA90    767      N366AA   BUSINESS  3434
TUE  22JUN10  LCY-ZRH  BA8767  EM190    G-LCYJ   ECON       411
MON  28JUN10  ZRH-JFK  AA65    767      N372AA   BUSINESS  3416
MON  28JUN10  JFK-DFW  AA1951  MD80     N9677W   ECON      1208

FRI   6AUG10  DFW-BOS  AA654   MD80     N574AA   ECON      1356
MON   9AUG10  BOS-YHZ  AC8892  CRJ200   C-GKEZ   ECON       360
MON  16AUG10  YQM-YYZ  AC8943  CRJ705   C-FCJZ   ECON       653
TUE  17AUG10  YYZ-DFW  AA1203  737      N802NN   ECON      1042

FRI  22OCT10  DFW-MFE  AA515   MD80     N585AA   FIRST      407
SUN  24OCT10  MFE-DFW  AA682   MD80     N454AA   ECON       407

SUN  21NOV10  DFW-BOS  AA2166  757      N678AN   ECON      1356
MON  22NOV10  BOS-LAX  AA145   757      N691AA   ECON      2268
TUE  23NOV10  LAX-SFO  AA1525  MD80     N463AA   ECON       293
FRI  26NOV10  SJC-DFW  AA1924  MD80     N9621A   FIRST     1249

TUE  25JAN11  DFW-PSP  AA1767  MD80     N968TW   FIRST      978
SAT  29JAN11  ONT-DFW  AA1514  MD80     N466AA   FIRST     1032

SAT  12MAR11  DFW-EWR  AA1560  MD80     N565AA   ECON      1192
SAT  12MAR11  JFK-LHR  AA116   777      N773AN   FIRST     2999
MON  14MAR11  LHR-FCO  AZ203   AB321    I-BIXT   ECON       779
SAT  19MAR11  MXP-JFK  AA199   767      N383AN   BUSINESS  3472
SAT  19MAR11  JFK-DFW  AA855   737      N864NN   ECON      1208

SAT  14MAY11  DFW-MKE  AA638   MD80     N595AA   ECON       741
SAT  14MAY11  ORD-DFW  AA2357  MD80     N472AA   ECON       698

SAT  21MAY11  IAH-DFW  AA426   MD80     N7547A   ECON       195

FRI  24JUN11  DFW-XNA  AA1390  MD80     N967TW   FIRST      243
FRI  24JUN11  XNA-ORD  AA4074  EM145    N634AE   ECON       455
FRI  24JUN11  ORD-LHR  AA98    777      N796AN   ECON      3434
SUN   3JUL11  LHR-HEL  AY840   AB320    OH-LXA   ECON      1001
WED   6JUL11  HEL-ORD  AA131   767      N343AN   BUSINESS  3856
WED   6JUL11  ORD-DFW  AA2343  MD80     N486AA   ECON       698

SAT  16JUL11  DFW-BDL  AA1916  737      N864NN   ECON      1278
SAT  16JUL11  BDL-DFW  AA2493  737      N869NN   ECON      1278

THU  11AUG11  DFW-CMH  AA542   MD80     N7540A   ECON       804
FRI  12AUG11  CMH-DFW  AA1202  MD80     N470AA   ECON       804

SAT   3SEP11  DFW-COS  AA1197  MD80     N278AA   FIRST      514
SUN   4SEP11  COS-DFW  AA1744  MD80     N110HM   ECON       514

TUE   1NOV11  DFW-IAH  AA1001  MD80     N7532A   ECON       195
WED   2NOV11  IAH-DFW  AA657   MD80     N483A    ECON       195

WED  23NOV11  DFW-BZE  AA2193  737      N802NN   BUSINESS  1032
FRI  25NOV11  BZE-DFW  AA2194  737      N943AN   BUSINESS  1032

FRI   9DEC11  DFW-LGA  AA732   737      N821NN   ECON      1206
FRI   9DEC11  JFK-LHR  AA106   777      N751AN   FIRST     2999
WED  14DEC11  LHR-RDU  AA173   767      N350AN   ECON      3365
WED  14DEC11  RDU-DFW  AA1079  737      N864NN   ECON       922

WED  18JAN12  DFW-LAS  AA2249  MD80     N16545   ECON       916
SAT  21JAN12  ONT-DFW  AA1604  MD80     N931TW   FIRST     1032

SAT  10MAR12  DFW-XNA  AA2881  EM145    N691AE   ECON       243
SUN  11MAR12  XNA-LGA  AA4573  EM135    N716AE   ECON       996
TUE  13MAR12  EWR-DFW  AA2075  MD80     N931TW   FIRST     1192

FRI   6APR12  DFW-XNA  AA3264  EM145    N610AE   ECON       243
FRI   6APR12  XNA-ORD  AA4348  EM145    N622AE   ECON       455
FRI   6APR12  ORD-ROC  AA4089  EM145    N645AE   ECON       458
SUN   8APR12  PHL-DFW  AA1560  MD80     N583AA   FIRST     1131

THU  12APR12  DFW-ORD  AA2374  MD80     N962TW   ECON       698
FRI  13APR12  ORD-DFW  AA2345  MD80     N969TW   ECON       698

SUN  15JUL12  DFW-NRT  AA175   777      N774AN   FIRST     5585
MON  23JUL12  KIX-DXB  EK317   777      A6-EBM   ECON      4095
FRI  27JUL12  DXB-LHR  EK3     AB380    A6-EDG   ECON      2971
SAT  28JUL12  LHR-ORD  AA99    777      N771AN   FIRST     3434
SAT  28JUL12  ORD-XNA  AA4270  EM145    N675AE   ECON       455
SAT  28JUL12  XNA-DFW  AA2772  EM140    N835AE   ECON       243

SAT  11AUG12  DFW-IAD  AA1434  MD80     N7538A   FIRST     1017
SAT  11AUG12  RIC-DFW  AA885   MD80     N9401W   FIRST     1005

THU  16AUG12  DFW-EWR  AA1874  MD80     N475AA   ECON      1192
SAT  18AUG12  SYR-ORD  AA4156  EM145    N609DP   ECON       527
SUN  19AUG12  ORD-XNA  AA3902  EM145    N678AE   ECON       455
SUN  19AUG12  XNA-DFW  AA389   MD80     N580AA   ECON       243

SAT  25AUG12  DFW-ORD  AA2332  MD80     N9401W   FIRST      698
SAT  25AUG12  ORD-PHL  AA2332  MD80     N9401W   ECON       589
TUE  28AUG12  PHL-DFW  AA2231  MD80     N982TW   FIRST     1131

THU  30AUG12  DFW-LHR  AA80    777      N786AN   FIRST     4128
WED   5SEP12  LHR-JFK  AA139   777      N751AN   FIRST     2999
THU   6SEP12  EWR-DFW  AA1589  MD80     N568AA   ECON      1192

THU  18OCT12  DFW-EWR  AA1554  MD80     N7514A   FIRST     1192
SUN  21OCT12  DCA-DFW  AA445   737      N905NN   ECON      1035

WED  21NOV12  DFW-YYZ  AA488   737      N868NN   BUSINESS  1041
MON  26NOV12  YYZ-DFW  AA1601  737      N952AA   BUSINESS  1041

SUN  20JAN13  DFW-LGA  AA704   MD80     N9420D   FIRST     1206
SUN  20JAN13  EWR-DFW  AA2075  MD80     N439AA   FIRST     1192

SAT   9FEB13  DFW-JAX  AA1888  MD80     N90511   FIRST      797
SUN  10FEB13  JAX-DFW  AA376   MD80     N7541A   FIRST      797

THU  14MAR13  DFW-LGA  AA762   737      N867NN   ECON      1206
FRI  15MAR13  JFK-LHR  AA106   777      N799AN   ECON      2999
SAT  16MAR13  LHR-MAD  BA460   767      G-BNWB   ECON       672
THU  21MAR13  MAD-LHR  IB3162  AB321    EC-IJN   ECON       672
THU  21MAR13  LHR-JFK  AA139   777      N718AN   BUSINESS  2999
SUN  24MAR13  EWR-DFW  AA1853  MD80     N435AA   FIRST     1192

SAT  27APR13  DFW-ELP  AA891   MD80     N592AA   FIRST      479
SUN  28APR13  ELP-DFW  AA1878  MD80     N7542A   FIRST      479

WED  15MAY13  DFW-EWR  AA2018  MD80     N7508    FIRST     1192
SAT  18MAY13  LGA-DFW  AA785   737      N891NN   FIRST     1206

SUN  26MAY13  DFW-MSP  AA2210  MD80     N9413T   FIRST      740
SUN  26MAY13  MSP-ANC  DL1099  757      N650DL   ECON      2189
SAT   8JUN13  ANC-DFW  AA278   757      N649AA   ECON      2644

SAT  27JUL13  DFW-ORD  AA2366  MD80     N7525A   ECON       698
MON  29JUL13  ORD-XNA  AA3637  EM140    N830AE   ECON       455
MON  29JUL13  XNA-DFW  AA3028  EM145    N619AE   ECON       243

FRI  23AUG13  DFW-BDL  AA1450  737      N842NN   ECON      1278
SUN  25AUG13  BDL-DFW  AA1581  737      N924NN   ECON      1278

SAT  31AUG13  DFW-BDL  AA1740  737      N963AN   ECON      1278
MON   2SEP13  BDL-DFW  AA1747  737      N806NN   ECON      1278

THU  10OCT13  DFW-LGA  AA1108  737      N917NN   ECON      1206
TUE  15OCT13  EWR-DFW  AA2488  MD80     N9401W   ECON      1192

FRI   8NOV13  DFW-XNA  AA2928  EM145    N696AE   ECON       243
SUN  10NOV13  XNA-DFW  AA372   MD80     N9412W   ECON       243

WED  27NOV13  DFW-PTY  AA1208  737      N963AN   ECON      1727
MON   2DEC13  PTY-DFW  AA2268  737      N867NN   ECON      1727

SAT  11JAN14  DFW-PNS  AA2861  EM145    N909AE   ECON       524
SUN  12JAN14  VPS-DFW  AA3211  EM145    N670AE   ECON       556

FRI  14MAR14  DFW-LGA  AA1104  737      N913AN   FIRST     1206
FRI  14MAR14  JFK-BDA  AA1416  737      N919AN   BUSINESS   662
TUE  18MAR14  BDA-JFK  AA1443  737      N845NN   ECON       662
WED  19MAR14  LGA-DFW  AA1103  737      N946AN   ECON      1206

FRI  28MAR14  DFW-EWR  AA320   MD80     N491AA   ECON      1192
SAT  29MAR14  JFK-MAN  AA210   757      N175AN   BUSINESS  2902
THU   3APR14  MAN-ORD  AA55    767      N382AN   BUSINESS  3324
THU   3APR14  ORD-SYR  AA3239  EM145    N668HH   ECON       527
FRI   4APR14  SYR-ORD  AA3126  CRJ700   N515AE   ECON       527
FRI   4APR14  ORD-DFW  AA2486  MD80     N552AA   ECON       698

FRI  18APR14  DFW-MHK  AA3053  EM145    N639AE   ECON       374
SAT  19APR14  MHK-DFW  AA3294  EM145    N639AE   ECON       374

THU  15MAY14  DFW-EWR  AA300   MD80     N9401W   ECON      1192
FRI  16MAY14  EWR-DFW  AA2488  MD80     N487AA   ECON      1192

SUN  15JUN14  DFW-LIT  AA1382  MD80     N966TW   FIRST      264
SUN  15JUN14  LIT-DFW  AA926   MD80     N14551   ECON       264

FRI  27JUN14  DFW-CLT  US626   AB321    N546UW   ECON       812
FRI  27JUN14  CLT-LGA  US2070  AB321    N155UW   ECON       473
SUN  29JUN14  JFK-LHR  AA106   777      N726AN   BUSINESS  2999
SUN  13JUL14  MAN-AMS  KL1084  EM190    PH-EZA   ECON       264
WED  16JUL14  AMS-YYZ  KL691   MD11     PH-KCE   ECON      3245
WED  16JUL14  YYZ-DFW  AA1038  AB319    N9012    ECON      1042

SAT  26JUL14  DFW-MCI  AA1046  MD80     N483A    FIRST      400
SAT  26JUL14  MCI-DFW  AA1233  MD80     N984TW   FIRST      400

FRI   1AUG14  DFW-EWR  AA2488  MD80     N592AA   FIRST     1192
FRI   1AUG14  EWR-ORD  AA4264  EM175    N409YX   FIRST      625
SAT   2AUG14  ORD-MLI  AA3149  EM145    N688AE   ECON       121
SUN   3AUG14  MLI-DFW  AA2556  CRJ200   N880AS   ECON       601

SAT   9AUG14  DFW-STL  AA96    MD80     N7546A   FIRST      478
SAT   9AUG14  STL-DFW  AA1380  MD80     N486AA   ECON       478

WED  13AUG14  DFW-PHL  US565   AB320    N642AW   ECON      1131
FRI  15AUG14  PHL-ORD  AA4247  EM175    N422YX   ECON       589
FRI  15AUG14  ORD-DFW  AA2353  MD80     N979TW   ECON       698

TUE  19AUG14  DFW-ATL  AA314   AB319    N9013A   ECON       635
TUE  19AUG14  ATL-DFW  AA232   MD80     N480AA   ECON       635

FRI  22AUG14  DFW-PHL  AA2222  737      N863NN   ECON      1131
SUN  24AUG14  PHL-DFW  AA2222  737      N918AN   ECON      1131

THU  28AUG14  DFW-ABQ  AA1467  MD80     N979TW   FIRST      494
THU  28AUG14  SAF-DFW  AA3330  EM140    N846AE   ECON       478

SAT  30AUG14  DFW-BDL  AA1493  737      N906NN   FIRST     1278
MON   1SEP14  BDL-DFW  AA2491  737      N928AN   FIRST     1278

FRI  12SEP14  DFW-COS  AA1625  MD80     N598AA   ECON       514
SUN  14SEP14  COS-DFW  AA978   MD80     N7528A   ECON       514

FRI  26SEP14  DFW-LAX  AA2495  737      N968AN   ECON      1072
SUN  28SEP14  LAX-DFW  AA2492  757      N698AN   ECON      1072

SAT  11OCT14  DFW-EWR  AA1642  MD80     N982TW   ECON      1192
SUN  12OCT14  LGA-YUL  AA3497  EM140    N845AE   ECON       281
SUN  19OCT14  YUL-DFW  AA1045  737      N951AA   BUSINESS  1314

FRI  31OCT14  DFW-EWR  AA1561  MD80     N9412W   ECON      1192
SUN   2NOV14  EWR-DFW  AA2488  MD80     N7550    FIRST     1192

THU  25DEC14  DFW-SYD  QF8     AB380	VH-OQF   ECON      7443
MON  29DEC14  SYD-AKL  LA800   AB340    CC-CQC   ECON      1168
FRI   9JAN15  CHC-AKL  NZ508   AB320    ZK-OXB   ECON       402
FRI   9JAN15  AKL-SYD  QF144   737      ZK-ZQE   ECON      1168
SAT  10JAN15  SYD-LAX  QF107   747      VH-OEF   ECON      6498
SAT  10JAN15  LAX-OKC  AA5381  CRJ900   N916FJ   ECON      1031
SAT  10JAN15  OKC-DFW  AA382   MD80     N466AA   FIRST      152

SUN  18JAN15  DFW-EWR  AA1642  737      N958NN   FIRST     1192
SUN  18JAN15  EWR-DFW  AA1224  737      N917AN   FIRST     1192

FRI  13FEB15  DFW-PHL  AA2264  737      N901AN   FIRST     1131
SUN  15FEB15  PHL-DFW  AA132   MD80     N979TW   ECON      1131

THU  26FEB15  DFW-YVR  AA1189  737      N856NN   ECON      1523
TUE   3MAR15  YVR-DFW  AA1189  737      N894NN   ECON      1523

MON   9MAR15  DFW-JAX  AA2385  MD80     N965TW   ECON       797
THU  12MAR15  JAX-DFW  AA386   MD80     N513AA   ECON       797

FRI  13MAR15  DFW-EWR  AA1561  MD80     N403A    FIRST     1192
SAT  14MAR15  JFK-LHR  AA106   777      N717AN   FIRST     2999
SUN  15MAR15  LHR-ZRH  LX319   AB320    HB-IJP   ECON       427
TUE  17MAR15  GVA-ZRH  LX2817  BAE146   HB-IYT   ECON       124
THU  19MAR15  ZRH-JFK  AA65    767      N342AN   BUSINESS  3416
THU  19MAR15  JFK-DFW  AA65    737      N935NN   ECON      1208

SAT  28MAR15  DFW-EWR  AA1642  737      N902NN   ECON      1192
SAT  28MAR15  JFK-ZRH  AA64    767      N343AN   BUSINESS  3416
FRI   3APR15  VCE-PHL  US715   AB330    N274AY   BUSINESS  3692
SUN   5APR15  PHL-DFW  US1848  EM190    N963UW   ECON      1131

FRI   1MAY15  DFW-BIS  AA3298  EM145    N902BC   ECON       849
SUN   3MAY15  FAR-DFW  AA3060  EM145    N679AE   ECON       840

THU  14MAY15  DFW-EWR  AA1564  737      N845NN   ECON      1192
SUN  17MAY15  EWR-DFW  AA1537  737      N983AN   ECON      1192

SAT  23MAY15  DFW-ONT  AA1505  MD80     N971TW   ECON      1032
MON  25MAY15  LAX-DFW  AA2401  737      N853NN   ECON       137

SUN  31MAY15  DFW-AUS  AA1561  MD80     N33502   FIRST      165
SUN  31MAY15  AUS-DFW  AA1563  MD80     N481AA   ECON       165

FRI   5JUN15  DFW-LIT  AA5753  CRJ900   N908FJ   ECON       264
FRI   5JUN15  LIT-DFW  AA3249  CRJ700   N522AE   ECON       264

THU  11JUN15  DFW-EWR  AA952   737      N855NN   ECON      1192
THU  11JUN15  JFK-LHR  AA106   777      N731AN   ECON      2999
FRI  12JUN15  LHR-BRU  BA392   AB319    G-EUPD   ECON       190
MON  15JUN15  DUS-LCY  BA3274  SB2000   G-CDKA   ECON       252
SUN  21JUN15  LHR-EDI  BA1454  AB320    G-EUYK   ECON       288
TUE  23JUN15  EDI-KOI  BE6897  SF340    G-LGNB   ECON       182
SUN  28JUN15  KOI-PPW  LM373   ISLANDER G-BPCA   ECON        24
SUN  28JUN15  PPW-WRY  LM377   ISLANDER G-BPCA   ECON         2
SUN  28JUN15  WRY-KOI  LM377   ISLANDER G-BPCA   ECON        24
SUN  28JUN15  KOI-INV  BE6938  SF340    G-LGNG   ECON        93
SAT   4JUL15  GLA-PHL  US769   757      N204UW   BUSINESS  2873
SAT   4JUL15  PHL-DFW  US751   AB321    N173US   ECON      1131

SUN  19JUL15  DFW-CLL  AA3543  EM145    N932AE   ECON       142
SUN  19JUL15  CLL-DFW  AA3100  EM145    N642AE   ECON       142

TUE  21JUL15  DFW-MHK  AA3087  EM145    N906AE   ECON       374
TUE  21JUL15  MHK-DFW  AA3559  EM145    N654AE   ECON       374

FRI  24JUL15  DFW-CLT  US1779  AB321    N583UW   ECON       812
SAT  25JUL15  CLT-BOS  US1980  AB319    N708UW   ECON       632
MON  27JUL15  BOS-PHL  US4529  EM170    N822MD   ECON       243
MON  27JUL15  PHL-DFW  US492   AB321    N919US   ECON      1131

TUE   4AUG15  DFW-RDU  AA332   MD80     N426AA   ECON       922
TUE   4AUG15  RDU-LHR  AA174   777      N784AN   FIRST     3365
WED   5AUG15  LHR-ARN  BA778   AB319    G-EUPL   ECON       792
FRI   7AUG15  BMA-MMX  TF123   RJ100    SE-DSX   ECON       273
MON  10AUG15  CPH-ZRH  LX1267  AB320    HB-IJN   ECON       514
TUE  11AUG15  ZRH-PHL  US711   AB330    N292AY   ECON      3498
TUE  11AUG15  PHL-DFW  US751   AB321    N163US   ECON      1131

TUE  25AUG15  DFW-ORD  AA1091  787      N804AN   ECON       698
TUE  25AUG15  ORD-DFW  AA2349  787      N804AN   ECON       698

WED  26AUG15  DFW-MCI  AA970   MD80     N972TW   ECON       400
WED  26AUG15  MCI-DFW  AA1535  MD80     N9630A   ECON       400

WED   2SEP15  DFW-EWR  AA1662  MD80     N590AA   ECON      1192
