#DAY  DATE     ROUTE    FLT NO  AIRCRAFT          CLASS  MILEAGE   TOTAL

SAT   3JUN89  BGI-SJU  AA1030  727      N716AA   ECON       494   78597
SAT   3JUN89  SJU-MIA  AA466   AB300    N33069   ECON       907   79504
SAT   3JUN89  MIA-DFW  AA813   DC10     N171AA   ECON       973   80477

FRI  16JUN89  DFW-LGW  AA50    DC10     N164AA   FIRST     4146   84623
MON  19JUN89  LGW-DFW  AA79    DC10     N164AA   ECON      4146   88769

SUN   2JUL89  DFW-HOU  AA371   727      N858AA   ECON       214   88983
SUN   2JUL89  HOU-DFW  AA1124  MD80     N208AA   ECON       214   89197

FRI  14JUL89  DFW-CUN  AA1269  727      N731AA   ECON       892   90089
SUN  16JUL89  CUN-DFW  AA680   727      N720AA   ECON       892   90981

MON  31JUL89  DFW-LGW  AA50    DC10     N144AA   FIRST     4146   95127
SUN   6AUG89  LGW-DFW  AA51    DC10     N163AA   FIRST     4146   99273

FRI  25AUG89  DFW-YYZ  AA488   727      N880AA   ECON      1042  100315
SUN  27AUG89  YYZ-DFW  AA1215  727      N723AA   ECON      1042  101357

FRI   8SEP89  DFW-MAF  AA273   727      N893AA   FIRST      268  101625
MON  11SEP89  MAF-DFW  AA682   727      N6817    ECON       268  101893

FRI  20OCT89  DFW-ONT  AA279   MD80     N226AA   ECON      1032  102925
MON  23OCT89  SFO-DFW  AA264   767      N303AA   ECON      1271  104196

FRI   3NOV89  DFW-MCO  AA672   MD80     N571AA   FIRST      855  105051
MON   6NOV89  TPA-DFW  AA843   727      N6827    ECON       806  105857

FRI  24NOV89  DFW-MSY  AA548   MD80     N286AA   ECON       389  106246
FRI  24NOV89  MSY-DFW  AA317   727      N899AA   ECON       389  106635

THU   7DEC89  DFW-LGW  AA50    DC10     N144AA   BUSINESS  4146  110781
SUN  10DEC89  LHR-FRA  LH1613  737      D-ABFL   ECON       354  111135
SUN  10DEC89  FRA-DFW  AA71    DC10     N144AA   BUSINESS  4470  115605

FRI  16FEB90  DFW-ATL  AA496   MD80     N420AA   ECON       635  116240
SUN  18FEB90  ATL-DFW  AA177   MD80     N443AA   ECON       635  116875

SAT   3MAR90  DFW-MIA  AA614   DC10     N160AA   FIRST      973  117848
SUN   4MAR90  MIA-MSY  AA1296  727      N730AA   ECON       585  118433
SUN   4MAR90  MSY-BNA  AA140   MD80     N481AA   FIRST      409  118842
SUN   4MAR90  BNA-DFW  AA503   MD80     N419AA   ECON       548  119390

FRI   9MAR90  DFW-BFL  AA607   MD80     N495AA   ECON      1103  120493
MON  12MAR90  LAX-DFW  AA30    DC10     N167AA   FIRST     1072  121565

FRI  30MAR90  DFW-LAX  AA49    DC10     N121AA   ECON      1072  122637
SUN   1APR90  LAX-DFW  AA792   MD80     N266AA   ECON      1072  123709

TUE  10APR90  DFW-LGW  AA50    DC10     N164AA   BUSINESS  4146  127855
SUN  15APR90  LGW-DFW  AA51    DC10     N137AA   BUSINESS  4146  132001

FRI  27APR90  DFW-TUS  AA243   MD80     N480AA   ECON       706  132707
SUN  29APR90  TUS-DFW  AA1066  MD80     N572AA   FIRST      706  133413

SAT   2JUN90  DFW-PBI  AA1274  MD80     N426AA   FIRST      957  134370
SUN   3JUN90  PBI-DFW  AA313   MD80     N203AA   FIRST      957  135327

SAT  23JUN90  DFW-SLC  AA323   MD80     N467AA   FIRST      858  136185
SUN  24JUN90  SLC-DFW  AA828   MD80     N493AA   FIRST      858  137043

SAT  30JUN90  DFW-MCO  AA1384  MD80     N207AA   FIRST      855  137898
SAT  30JUN90  MCO-DFW  AA765   MD80     N251AA   ECON       855  138753

FRI  13JUL90  DFW-YYZ  AA488   727      N889AA   ECON      1042  139795
SUN  15JUL90  YYZ-DFW  AA1583  727      N6800    ECON      1042  140837

FRI  10AUG90  DFW-SLC  AA1267  MD80     N7518A   ECON       858  141695
MON  13AUG90  SLC-DFW  AA660   MD80     N468AA   ECON       951  142809

FRI   7SEP90  DFW-DEN  AA51    727      N868AA   ECON       560  143369
SUN   9SEP90  DEN-DFW  AA1432  MD80     N215AA   FIRST      560  143929

SAT  10NOV90  DFW-HRL  AA383   MD80     N495AA   FIRST      400  144329
SUN  11NOV90  HRL-DFW  AA576   MD80     N228AA   FIRST      400  144729

WED  21NOV90  DFW-LGW  AA50    DC10     N164AA   FIRST     4146  148875
WED  28NOV90  LGW-DFW  AA51    DC10     N163AA   FIRST     4146  153021

SAT   8DEC90  DFW-GUC  AA853   727      N708AA   FIRST      589  153610
MON  10DEC90  GUC-DFW  AA858   727      N708AA   ECON       589  154199

FRI  28DEC90  DFW-YYC  AA895   MD80     N262AA   FIRST     1323  155522
TUE   1JAN91  YYC-DFW  AA654   MD80     N251AA   FIRST     1323  156845

THU  24JAN91  DFW-YYC  AA895   MD80     N436AA   FIRST     1323  158168
SUN  27JAN91  YYC-DFW  AA654   MD80     N424AA   FIRST     1323  159491

WED  13FEB91  DFW-LGW  AA50    DC10     N138AA   FIRST     4146  163637
SUN  17FEB91  LGW-DFW  AA51    DC10     N143AA   FIRST     4146  167783

FRI  12APR91  DFW-LGB  AA1227  MD80     N457AA   FIRST     1060  168843
SUN  14APR91  SNA-DFW  AA332   757      N612AA   ECON      1046  169889

FRI  17MAY91  DFW-COS  AA1019  MD80     N467AA   FIRST      515  170404
SUN  19MAY91  DEN-DFW  AA1195  MD80     N7548A   FIRST      560  170964

FRI  30AUG91  DFW-SEA  AA251   DC10     N126AA   ECON      1441  172405
MON   2SEP91  SEA-DFW  AA1096  MD80     N7525A   FIRST     1441  173846

SAT   5OCT91  DFW-HRL  AA1277  MD80     N241AA   FIRST      400  174246
SUN   6OCT91  HRL-DFW  AA800   MD80     N477AA   ECON       400  174646

FRI  18OCT91  DFW-LGW  AA78    DC10     N163AA   BUSINESS  4146  178792
MON  21OCT91  LHR-JNB  SA239   747      ZS-SAW   BUSINESS  4877  183669
MON  28OCT91  JNB-CPT  SA339   AB300    ZS-SDD   ECON       685  184354
FRI   1NOV91  CPT-JNB  SA338   AB300    ZS-SDB   ECON       685  185039
SAT   2NOV91  JNB-FRA  SA252   747      ZS-SAT   BUSINESS  4669  189708
